 ,CODIGO,NOMBRE,PRECIO MERCADO LIBRE,PRECIO MERCADO,VENTA ELEVAPARTES,ESTADO,NOTIFICACION ENVIADA,ADVERTENCIA STOCK,MINIMO STOCK,ENTRADA,SALIDA,STOCK,marzo 2023,abril 2023,mayo 2023,junio 2023,julio 2023,agosto 2023,septiembre 2023,octubre 2023,noviembre 2023,diciembre 2023,enero 2024,febrero 2024,marzo 2024,abril 2024,mayo 2024,junio 2024,julio 2024,agosto 2024,septiembre 2024,octubre 2024,noviembre 2024,diciembre 2024,enero 2025,febrero 2025,marzo 2025,abril 2025,mayo 2025,junio 2025,julio 2025,agosto 2025,septiembre 2025,octubre 2025,noviembre 2025,diciembre 2025
13,CEA51FB-S,Controlador 51-BS,"$627,17","$520,00","$520,55",ALERTA,SI,18,10,230,227,3,"$4.000,00","$1.990,00","$2.055,00","$3.065,00","$1.010,00","$1.480,00","$2.080,00","$5.020,00","$8.040,00","$4.540,00","$2.030,00","$1.050,00","$2.070,00","$4.630,00","$3.630,00","$6.230,00","$2.100,00","$6.760,00","$4.175,00","$3.615,00","$4.680,00","$2.100,00","$2.595,00","$5.210,00","$4.180,00","$3.660,00","$3.120,00","$3.160,00","$3.715,00","$4.220,00","$3.700,00","$3.165,00","$2.670,00","$1.620,00"
14,CEA51FC+,Controlador 51-CD,"$625,54","$510,00","$519,20",ALERTA-W,SI,6,4,55,50,5,"$1.010,00","$960,00","$1.500,00","$0,00","$0,00","$1.020,00","$0,00","$510,00","$1.510,00","$2.010,00","$530,00","$0,00","$0,00","$515,00","$515,00","$2.080,00","$520,00","$1.040,00","$1.580,00","$0,00","$540,00","$1.040,00","$0,00","$3.790,00","$0,00","$1.640,00","$0,00","$0,00","$0,00","$1.070,00","$1.650,00","$550,00","$550,00","$0,00"
15,CEA51FC-S,Controlador 51-CS,,"$490,00","$484,85",ALERTA,SI,4,2,60,59,1,"$0,00","$0,00","$0,00","$0,00","$0,00","$470,00","$0,00","$980,00","$475,00","$1.490,00","$1.495,00","$500,00","$500,00","$1.520,00","$0,00","$4.060,00","$1.520,00","$0,00","$510,00","$1.020,00","$0,00","$1.020,00","$510,00","$5.090,00","$2.050,00","$0,00","$1.030,00","$0,00","$1.030,00","$1.545,00","$515,00","$0,00","$1.040,00","$1.530,00"
16,EXT51FB,Extension de llamadas 51-FB,,-,"$445,71",OK,SI,1,0,5,2,3,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$395,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$450,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
17,AV51P24-U,Anunciador Vocal,,-,"$244,72",ALERTA-W,SI,2,1,11,9,2,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$220,00","$0,00","$0,00","$250,00","$0,00","$0,00","$0,00","$290,00","$290,00","$0,00","$0,00","$0,00","$290,00","$0,00","$290,00","$290,00","$0,00","$0,00","$0,00","$580,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
18,SOD,Sensor Optico,"$44,40","$40,00","$45,69",ALERTA,SI,16,10,60,60,0,"$0,00","$90,00","$135,00","$180,00","$0,00","$45,00","$90,00","$0,00","$135,00","$0,00","$0,00","$45,00","$420,00","$45,00","$0,00","$90,00","$0,00","$210,00","$0,00","$45,00","$0,00","$90,00","$0,00","$0,00","$45,00","$0,00","$45,00","$0,00","$180,00","$45,00","$0,00","$0,00","$650,00","$0,00"
19,ATTL/USB-F,Adaptador USB Firmware,"$118,50","$110,00","$98,36",OK,SI,3,2,23,16,7,"$210,00","$0,00","$0,00","$0,00","$110,00","$230,00","$110,00","$0,00","$0,00","$0,00","$120,00","$0,00","$120,00","$0,00","$0,00","$0,00","$130,00","$0,00","$0,00","$0,00","$135,00","$0,00","$135,00","$280,00","$0,00","$0,00","$0,00","$0,00","$420,00","$0,00","$0,00","$0,00","$0,00","$0,00"
20,ATTL/BT-C,Adaptador Bluetooth,"$229,36","$200,00","$190,37",OK,SI,1,0,9,7,2,"$385,00","$185,00","$0,00","$0,00","$0,00","$200,00","$0,00","$0,00","$0,00","$400,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$270,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
21,SPM-E,Sensor Magnetico,"$48,17","$40,00","$39,98",OK,SI,16,10,120,102,18,"$0,00","$160,00","$200,00","$80,00","$80,00","$280,00","$0,00","$120,00","$160,00","$280,00","$80,00","$40,00","$0,00","$80,00","$0,00","$160,00","$200,00","$120,00","$80,00","$80,00","$120,00","$560,00","$160,00","$80,00","$0,00","$0,00","$0,00","$0,00","$120,00","$80,00","$160,00","$240,00","$240,00","$80,00"
22,COO51FB,COORDINADOR ,"$948,26","$800,00","$787,06",OK,SI,0,0,4,1,3,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$795,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00"
